X,Y,Z,Heading,Pitch
-200.0,-200.0,450.0,5.934119456780721,0.0
-197.42922590071433,-200.91639456335915,449.9085695890428,5.947403420693259,6.216209792850005
-194.85811264424575,-201.79468017602312,449.63468833406216,5.960627818740884,6.1492342785204235
-192.29887140897966,-202.63145278463043,449.17958433037245,5.97373335215458,6.0822587641908425
-189.76359763048114,-203.42401151898218,448.5460313890061,5.9866622190452885,6.021385919386182
-187.23563585166002,-204.17867018710763,447.8391229108431,5.9995031408399,6.021385919386182
-184.69819224023334,-204.900806171108,447.13221443268014,6.012344062634513,6.021385919386182
-182.15168518768357,-205.59030040014224,446.42530595451717,6.025184984429125,6.021385919386182
-179.5965345799363,-206.24703918557077,445.71839747635426,6.038025906223737,6.021385919386182
-177.03316172812714,-206.87091423970102,445.0114889981913,6.05086682801835,6.021385919386182
-174.46198929913336,-207.46182269364257,444.3045805200283,6.063707749812962,6.021385919386182
-171.88351401824005,-208.0200120125861,443.5976720418654,6.073928996466398,6.021385919386182
-169.30643618237008,-208.58460946956424,442.8907635637024,6.061088074671785,6.021385919386182
-166.73682056237797,-209.18225152468568,442.18385508553945,6.048247152877173,6.021385919386182
-164.17509085449177,-209.81283963454084,441.4769466073765,6.035406231082561,6.021385919386182
-161.62166945465523,-210.47626982334376,440.77003812921356,6.022565309287948,6.021385919386182
-159.07697738888052,-211.17243270007629,440.0631296510506,6.009724387493336,6.021385919386182
-156.5414342438255,-211.90121347652544,439.3562211728876,5.996883465698724,6.021385919386182
-154.0154580976101,-212.66249198621034,438.6493126947247,5.9840425439041125,6.021385919386182
-151.49946545088022,-213.45614270419622,437.9424042165617,5.9712016221095,6.021385919386182
-148.993871158133,-214.2820347677916,437.23549573839875,5.958360700314888,6.021385919386182
-146.49908835931151,-215.1400319981262,436.5285872602358,5.945519778520276,6.021385919386182
-144.01552841168404,-216.0299929226049,435.82167878207287,5.932678856725663,6.021385919386182
-141.54360082201703,-216.9517707982345,435.1147703039099,5.919837934931051,6.021385919386182
-139.08371317905164,-217.9052136358202,434.4078618257469,5.906997013136439,6.021385919386182
-136.6362710862983,-218.89016422502635,433.700953347584,5.894156091341826,6.021385919386182
-134.20167809515854,-219.90646016029834,432.99404486942103,5.881315169547214,6.021385919386182
-131.7803356383833,-220.95393386764135,432.28713639125806,5.868474247752602,6.021385919386182
-129.37264296388264,-222.03241263225112,431.5802279130951,5.85563332595799,6.021385919386182
-126.97899706889544,-223.14171862699212,430.87331943493217,5.842792404163378,6.021385919386182
-124.59979263452857,-224.28166894171918,430.1664109567692,5.829951482368766,6.021385919386182
-122.23542196067987,-225.452075613437,429.4595024786062,5.817110560574154,6.021385919386182
-119.88627490135266,-226.65274565729277,428.7525940004433,5.804269638779541,6.021385919386182
-117.55273880037453,-227.8834810983966,428.04568552228034,5.791428716984929,6.021385919386182
-115.23519842752833,-229.14407900446548,427.33877704411736,5.778587795190317,6.021385919386182
-112.93403591510926,-230.43433151928392,426.6318685659544,5.765746873395704,6.021385919386182
-110.6496306949165,-231.75402589697654,425.9249600877915,5.752905951601092,6.021385919386182
-108.38235943568911,-233.1029445370875,425.2180516096285,5.74006502980648,6.021385919386182
-106.13259598099856,-234.48086502045985,424.51114313146553,5.7272241080118675,6.021385919386182
-103.90071128760731,-235.88756014590925,423.8042346533026,5.714383186217256,6.021385919386182
-101.68707336430188,-237.32279796768705,423.09732617513964,5.701542264422644,6.021385919386182
-99.4920472112136,-238.78634183372475,422.39041769697667,5.688701342628031,6.021385919386182
-97.31599475963502,-240.27795042465476,421.6835092188137,5.675860420833419,6.021385919386182
-95.15927481234145,-241.7973777936012,420.9766007406508,5.663019499038807,6.021385919386182
-93.02224298442954,-243.3443734067332,420.2696922624878,5.650178577244194,6.021385919386182
-90.90525164468116,-244.91868218457435,419.56278378432484,5.637337655449582,6.021385919386182
-88.80864985746163,-246.52004454406244,418.85587530616186,5.62449673365497,6.021385919386182
-86.73278332516429,-248.14819644135122,418.14896682799895,5.611655811860358,6.021385919386182
-84.67799433120801,-249.80286941534774,417.442058349836,5.5988148900657455,6.021385919386182
-82.64462168360009,-251.48379063197783,416.735149871673,5.585973968271134,6.021385919386182
-80.63300065906995,-253.19068292917342,416.02824139351003,5.573133046476522,6.021385919386182
-78.6434629477871,-254.92326486257275,415.3213329153471,5.560292124681909,6.021385919386182
-76.67633659867006,-256.6812507519265,414.61442443718414,5.547451202887297,6.021385919386182
-74.7319459652945,-258.4643507282034,413.9075159590212,5.534610281092685,6.021385919386182
-72.81061165241185,-260.2722707813855,413.20060748085825,5.521769359298072,6.021385919386182
-70.91265046308652,-262.10471280894654,412.4936990026953,5.50892843750346,6.021385919386182
-69.03837534645783,-263.96137466500545,411.7867905245323,5.496087515708848,6.021385919386182
-67.18809534613987,-265.84195021014597,411.0798820463694,5.483246593914236,6.021385919386182
-65.36211554926362,-267.74612936189556,410.3729735682064,5.4704056721196235,6.021385919386182
-63.56073703617241,-269.67359814585313,409.66606509004345,5.4575647503250115,6.021385919386182
-61.78425683077754,-271.6240387474602,408.9591566118805,5.4447238285304,6.021385919386182
-60.03296785158253,-273.5971295644041,408.25224813371756,5.431882906735787,6.021385919386182
-58.30715886338555,-275.59254525964553,407.5453396555546,5.419041984941175,6.021385919386182
-56.60711442966493,-277.60995681506324,406.8384311773916,5.406201063146563,6.021385919386182
-54.933114865658695,-279.6490315857044,406.1315226992287,5.39336014135195,6.021385919386182
-53.28543619214474,-281.7094333546331,405.4246142210657,5.380519219557338,6.021385919386182
